key	en-US	pt-BR
K45::ADR.main[cityNamesetsLibrary.anErrorHasOccurredOnExporting]	An error has occurred while exporting...	Ocorreu um erro ao exportar...
K45::ADR.main[namesetLine.entriesCountLbl]	Total entries (including duplicates):	Total de itens (incluindo duplicatas):
K45::ADR.main[namesetLine.entriesCountUniqueLbl]	Unique entries:	Itens únicos:
K45::ADR.main[namesetLine.pathToNameset]	Path to nameset	Caminho da lista
K45::ADR.main[cityNamesetsLibrary.importFromGitHub]	Import from GitHub Repository	Importar do GitHub
K45::ADR.main[githubLibrary.title]	Import from Addresses Files GitHub Repository	Importar do repositório GitHub Addresses Files
K45::ADR.main[githubLibrary.subtitle]	Browse directly to the repository to get files you may like to add to your city. You can contribute by opening Merge Requests at repository page.	Navegue diretamente pelo repositório para obter os arquivos que você deseja adicionar à sua cidade. Você pode contribuir abrindo Merge Requests na página do repositório.
K45::ADR.main[githubLibrary.back]	Back	Voltar
K45::ADR.main[githubListing.loading]	Loading entries...	Carregando dados...
K45::ADR.main[namesetLine.fileSize]	File size (bytes):	Tamanho do arquivo (bytes):
K45::ADR.main[namesetLine.approximateLinesText]	Approx. {min}~{max} names	Aproximadamente {min}~{max} nomes
K45::ADR.main[githubLibrary.visitRepository]	Visit repository (in the browser)	Visite o repositório (no navegador)
K45::ADR.main[main.loadingDataPleaseWait]	"Loading data, please wait..."	"Carregando dados, aguarde..."
K45::ADR.main[githubListing.errorLoadingMsg]	Error loading data. Try again in 1 hour or visit the repository at browser.	Erro carregando os dados. Tente novamente em 1 hora ou visite o repositório diretamente em seu navegador.
K45::ADR.main[githubListing.errorLoadingRateLimit]	Error loading data. Visit the repository at browser or try again after: {formattedTime}	Erro carregando os dados. Visite o repositório diretamente em seu navegador ou tente novamente após: {formattedTime}
K45::ADR.main[namesetsImport.pathToNameset]	Path to nameset	Caminho da lista
K45::ADR.vuio[StationBuildingOptions.UseDistrictOpt]	Use District	Usar Distrito
K45::ADR.vuio[StationBuildingOptions.RoadOptPattern]	Road: {name}	Via: {name}
K45::ADR.vuio[StationBuildingOptions.BuildingOptPattern]	Building: {name}	Edifício: {name}
K45::ADR.vuio[AddressesInfoOptions.NamingReference]	Naming Reference	Ref. Nomenclatura
K45::ADR.vuio[AdrEntityType.None]	N/A	N/A
K45::ADR.vuio[AdrEntityType.PublicTransportStation]	Public Transport Station	Estação de Transporte Público
K45::ADR.vuio[AdrEntityType.CargoTransportStation]	Cargo Terminal	Terminal de Cargas
K45::ADR.vuio[AdrEntityType.RoadAggregation]	Road	Via
K45::ADR.vuio[AddressesInfoOptions.Tooltip.None]	There are no special rules applied to this object.	Nenhuma regra especial aplicada a esse objeto
K45::ADR.vuio[AddressesInfoOptions.Tooltip.PublicTransportStation]	Public Transport Station rules are related to any building that have support to receive one or more types of public transport lines stops.	As regras de Estações de Transporte Público se aplicam a todo prédio que seja capaz de receber linhas de transporte público.
K45::ADR.vuio[AddressesInfoOptions.Tooltip.CargoTransportStation]	Cargo Terminal rules are related to any building that is able to connect to cargo transport lines.	As regras de Terminais de Carga se aplicam a todo prédio que seja capaz de conectar linhas de transporte de carga.
K45::ADR.vuio[AddressesInfoOptions.Tooltip.RoadAggregation]	"Road rules are applied to any segment that have some kind of grouping to receive a common name. Generally applies to roads, highways and alike."	"As regras de Vias se aplicam a todo segmento que é agrupado para receber um nome comum. Se aplicam geralmente a ruas, estradas, rodovias, etc."
K45::ADR.vuio[SeedManagementOptions.GenerationSeedActions]	Name seed actions	Ações para sementes de nomenclatura
K45::ADR.vuio[SeedManagementOptions.RegenerateNameTooltip]	Generate a new random name	Gerar um novo nome aleatório
K45::ADR.vuio[AdrEntityType.District]	District	Distrito
K45::ADR.vuio[AddressesInfoOptions.Tooltip.District]	District rules are applied to District areas	Regras de Distrito são aplicáveis à áreas de Distrito.
K45::ADR.vuio[SeedManagementOptions.UsePreviousNameInList]	Use previous name from list	Usar nome anterior da lista
K45::ADR.vuio[SeedManagementOptions.UseNextNameInList]	Use next name from list	Usar próximo nome da lista
K45::ADR.vuio[SeedManagementOptions.UsingVanillaNameGenerator]	Using vanilla generator	Usando gerador de nomes padrão do jogo
K45::ADR.vuio[SeedManagementOptions.NamingSource]	Naming Source	Fonte de nomes
K45::ADR.vuio[SeedManagementOptions.GeneratorFilenameTemplate]	List: {filename}	Lista: {filename}
K45::ADR.vuio[AdrEntityType.CustomName]	Custom Name\n(erase to use mod)	Nome personalizado\n(apague para usar o mod)
K45::ADR.vuio[AdrEntityType.Vehicle]	Vehicle	Veículo
K45::ADR.vuio[vehicleDataVuio.vehiclePlateTitle.Road]	Plate	Placa
K45::ADR.vuio[vehicleDataVuio.vehiclePlateTitle.Air]	Prefix	Prefixo
K45::ADR.vuio[vehicleDataVuio.vehiclePlateTitle.Water]	Prefix	Prefixo
K45::ADR.vuio[vehicleDataVuio.vehiclePlateTitle.Rail]	Identifier	Identificador
K45::ADR.vuio[vehicleDataVuio.ownerSerialNumber]	Owner building serial number	Número de série de seu dono
K45::ADR.vuio[vehicleDataVuio.serialNumber]	Serial Number	Número de série
K45::ADR.vuio[vehicleDataVuio.manufactureMonthsFromEpoch]	Register date	Data de registro
K45::ADR.main[overrideSettings.subCategory.vehicleIdentifiers]	Vehicle identifiers	Identificadores de veículos
K45::ADR.main[overrideSettings.tabRoadPlates]	Road vehicles	Rodoviários
K45::ADR.main[overrideSettings.tabRailPlates]	Rail vehicles	Ferroviários
K45::ADR.main[overrideSettings.tabAirPlates]	Air vehicles	Aéreos
K45::ADR.main[overrideSettings.tabWaterPlates]	Water vehicles	Aquáticos
K45::ADR.main[vehiclePlate.monthsOffsetForGenerator.subTitleTemplate]	Equivalent to: {value}	Equivale a: {value}
K45::ADR.main[vehiclePlate.monthsOffsetForGenerator]	Base month	Mês base
K45::ADR.main[vehiclePlate.serialIncrementEachMonth]	# of identifiers to skip at end of month	Quantidade de identificadores a pular após cada mês
K45::ADR.main[vehiclePlate.digitsQuantity]	# of characters in the identifier (1~9)	Quantidade de caracteres no identificador (1~9)
K45::ADR.main[vehiclePlate.identifierCharSettingsTitle.road]	Plate characters detail	Detalhes dos caracteres das placas
K45::ADR.main[vehiclePlate.identifierCharSettingsTitle.water]	Identifier characters detail	Detalhes dos caracteres dos identificadores
K45::ADR.main[vehiclePlate.identifierCharSettingsTitle.air]	Identifier characters detail	Detalhes dos caracteres dos identificadores
K45::ADR.main[vehiclePlate.identifierCharSettingsTitle.rail]	Identifier characters detail	Detalhes dos caracteres dos identificadores
K45::ADR.main[vehiclePlate.identifierDigitSource.0]	Source (building/city)	Origem (prédio/cidade)
K45::ADR.main[vehiclePlate.identifierDigitSource.1]	Serial Number	Nº de Série
K45::ADR.main[vehiclePlate.identifierDigitSource.2]	Car #	Nº do Carro
K45::ADR.main[vehiclePlate.allowRandomizeDigitLabel]	Randomize order	Embaralhar dígitos
K45::ADR.main[vehiclePlate.preview]	Preview	Pré-visualização
K45::ADR.main[cityNamesetsLibrary.viewNameset]	View	Ver
K45::ADR.vuio[StationBuildingOptions.UseDefault]	<Use Default>	<Usar Padrão>
Assets.NAME[K45_ADR_HighwayMarker]	Highway marker	Marcador de rodovia
Assets.DESCRIPTION[K45_ADR_HighwayMarker]	"A road marker that can be used to store information about the Highway is passing there. Provided by Addresses Mod.\n\nWhen set up, it will prevents the game from overriding the name of the whole road and will always show the name configured at Addresses windows.\n\nWhen along with Write Everywhere mod, it also can display different informations. There are 7 slots available for custom content from WE."	"Um marcador de estrada que pode ser usado para armazenar informações sobre a rodovia está passando por ali. Fornecido pelo Addresses Mod.\n\nQuando configurado, ele impedirá que o jogo substitua o nome de toda a estrada e sempre mostrará o nome configurado nas janelas do Addresses Mod.\n\nQuando combinado com o mod Write Everywhere, ele também pode exibir diferentes informações. Há 7 posições disponíveis para layouts do WE."
K45::ADR.vuio[HighwayRoutes.NoRoute]	<Get from segment>	<Obter do segmento>
K45::ADR.vuio[RoadMarkSettings.RouteIdentifier]	Route	Rota
K45::ADR.vuio[RoadMarkSettings.RouteDirection]	Direction	Direção
K45::ADR.vuio[RouteDirection.UNDEFINED]	<not set>	<não definido>
K45::ADR.vuio[RouteDirection.NORTH]	North	Norte
K45::ADR.vuio[RouteDirection.NORTHEAST]	Northeast	Nordeste
K45::ADR.vuio[RouteDirection.EAST]	East	Leste
K45::ADR.vuio[RouteDirection.SOUTHEAST]	Southeast	Sudeste
K45::ADR.vuio[RouteDirection.SOUTH]	South	Sul
K45::ADR.vuio[RouteDirection.SOUTHWEST]	Southwest	Sudoeste
K45::ADR.vuio[RouteDirection.WEST]	West	Oeste
K45::ADR.vuio[RouteDirection.NORTHWEST]	Northwest	Noroeste
K45::ADR.vuio[RouteDirection.INTERNAL]	Internal	Interno
K45::ADR.vuio[RouteDirection.EXTERNAL]	External	Externo
K45::ADR.vuio[RoadMarkSettings.DisplayInformation]	Information shown (WE)	Informações mostradas (WE)
K45::ADR.vuio[DisplayInformation.CUSTOM_1]	Custom 1	Personalizado 1
K45::ADR.vuio[DisplayInformation.CUSTOM_2]	Custom 2	Personalizado 2
K45::ADR.vuio[DisplayInformation.CUSTOM_3]	Custom 3	Personalizado 3
K45::ADR.vuio[DisplayInformation.CUSTOM_4]	Custom 4	Personalizado 4
K45::ADR.vuio[DisplayInformation.CUSTOM_5]	Custom 5	Personalizado 5
K45::ADR.vuio[RoadMarkSettings.CustomParam1]	Layout Parameter 1	Parâmetro de Layout 1
K45::ADR.vuio[RoadMarkSettings.CustomParam2]	Layout Parameter 2	Parâmetro de Layout 2
K45::ADR.vuio[RoadMarkSettings.OverrideMileage]	Override mileage counting\n(Current: {0})	Substituir contagem de quilometragem\n(Atual: {0})
K45::ADR.vuio[RoadMarkSettings.NewMileage]	New mileage ({0})	Nova quilometragem ({0})
K45::ADR.vuio[RoadMarkSettings.ReverseMileageCounting]	Decreasing	Decrescente
K45::ADR.vuio[AddressesInfoOptions.Tooltip.Vehicle]	Extra information generated by Addresses mod for this vehicle	Informações extras geradas pelo mod Addresses para este veículo
K45::ADR.vuio[AddressesInfoOptions.SettingsFor]	Settings for	Configurações para
K45::ADR.vuio[AdrEntityType.RoadMark]	Road Marker	Marcador de vias
K45::ADR.vuio[AddressesInfoOptions.ExtraDataInformationFor]	Additional data generated for	Dados adicionais gerados para
K45::ADR.vuio[AddressesInfoOptions.Tooltip.RoadMark]	Road markers can either be a placeholder for a transit sign and/or change game behavior about the road name and mileage.	Os marcadores de estrada podem ser um espaço reservado para uma placa de trânsito e/ou alterar o comportamento do jogo em relação ao nome da estrada e à quilometragem.
K45::ADR.vuio[RoadMarkSettings.OverrideMileageShort]	Override mileage	Sobresc. quilometragem
K45::ADR.vuio[DisplayInformation.ORIGINAL]	Original	Original
K45::ADR.vuio[DisplayInformation.CUSTOM_6]	Custom 6	Personalizado 6
K45::ADR.vuio[DisplayInformation.CUSTOM_7]	Custom 7	Personalizado 7
K45::ADR.vuio[RoadMarkSettings.CustomParams]	Parameters (WE)	Parâmetros (WE)
K45::ADR.main[loadACityWarningH2]	Load a city before start using Addresses Mod	Carregue uma cidade para utilizar o Addresses Mod
K45::ADR.main[regionSettings.title]	Regional Settings	Configurações Regionais
K45::ADR.main[regionSettings.subtitle]	Change region & connections settings	Altere configurações da região e conexões
K45::ADR.main[highwayRegisterEditor.tabTitle]	Highway registers	Registro de rodovias
K45::ADR.main[highwayRegisterEditor.titleList]	Highways registered list	Lista de rodovias cadastradas
K45::ADR.main[highwayRegisterEditor.noHighwaysRegisteredMessage]	"No highways registered yet. Add a new register on ""Add"" button on bottom of this page."	"Nenhuma rodovia cadastrada. Adicione um novo registro usando o botão ""Adicionar"" no fim desta página."
K45::ADR.main[highwayRegisterEditor.addBtn]	Add	Adicionar
K45::ADR.main[highwayRegisterEditor.highwayPrefix]	Prefix	Prefixo
K45::ADR.main[highwayRegisterEditor.highwaySuffix]	Suffix	Sufixo
K45::ADR.main[highwayRegisterEditor.highwayName]	Name	Nome
K45::ADR.main[highwayRegisterEditor.startPositionReference]	Start position reference	Posição de referência
K45::ADR.main[highwayRegisterEditor.save]	Save	Salvar
K45::ADR.main[highwayRegisterEditor.cancel]	Cancel	Cancelar
K45::ADR.main[highwayRegisterEditor.editBtn]	Edit	Editar
K45::ADR.main[regionSettings.doubleClickToSelectPoint]	Double-click to select a point in the map.	Duplo clique para selecionar um ponto no mapa
K45::ADR.main[highwayRegisterEditor.copyFromMapSelection]	Copy from map selection	Copiar da seleção do mapa
K45::ADR.main[regionSettings.loadmap]	Map is loading...	Carregando mapa...
K45::ADR.main[regionSettings.reloadMapButton]	Reload map	Recarregar mapa
K45::ADR.main[regionCityEditor.tabTitle]	Region Cities	Cidades da região
K45::ADR.main[regionCityEditor.titleList]	Cities registered	Cidades registradas
K45::ADR.main[regionCityEditor.noCitiesRegisteredMessage]	No cities registered on region yet	Sem cidades cadastradas na região
K45::ADR.main[regionCityEditor.addBtn]	Add	Adicionar
K45::ADR.main[regionCityEditor.name]	City Name	Nome da cidade
K45::ADR.main[regionCityEditor.centerPosition]	Central azimuth angle (0~360°)	Azimute central (0~360°)
K45::ADR.main[regionCityEditor.offsetAzimuthLR]	Azimuth expand area weight	Área de expansão (peso a ponderar)
K45::ADR.main[regionCityEditor.offsetAzimuthLRSubtitle]	"to left/to right of central azimuth, 0~180°"	"à esquerda/à direita do centro do azimute central, 0~180°"
K45::ADR.main[regionCityEditor.cityColor]	Color on map	Cor no mapa
K45::ADR.main[regionCityEditor.reachableByLand]	Reachable by land	Acessível por terra
K45::ADR.main[regionCityEditor.reachableByWater]	Reachable by water	Acessível por água
K45::ADR.main[regionCityEditor.reachableByAir]	Reachable by air	Acessível pelo ar
K45::ADR.main[regionCityEditor.save]	Save	Salvar
K45::ADR.main[regionCityEditor.cancel]	Cancel	Cancelar
K45::ADR.main[regionCityEditor.directionPresetNorth]	North	Norte
K45::ADR.main[regionCityEditor.directionPresetNortheast]	Northeast	Nordeste
K45::ADR.main[regionCityEditor.directionPresetEast]	East	Leste
K45::ADR.main[regionCityEditor.directionPresetSoutheast]	Southeast	Sudeste
K45::ADR.main[regionCityEditor.directionPresetSouth]	South	Sul
K45::ADR.main[regionCityEditor.directionPresetSouthwest]	Southwest	Sudoeste
K45::ADR.main[regionCityEditor.directionPresetWest]	West	Oeste
K45::ADR.main[regionCityEditor.directionPresetNorthwest]	Northwest	Noroeste
K45::ADR.main[regionCityEditor.directionPresetCustom]	Custom	Personalizado
K45::ADR.main[regionSettings.mapModeName.0]	No Neighbors	Sem vizinhos
K45::ADR.main[regionSettings.mapModeName.1]	Land Neighbors	Vizinhos por terra
K45::ADR.main[regionSettings.mapModeName.2]	WaterNeighbors	Vizinhos por água
K45::ADR.main[regionSettings.mapModeName.3]	Air Neighbors	Vizinhos por ar
K45::ADR.main[regionCityEditor.editBtn]	Edit	Editar
K45::ADR.main[regionCityEditor.removeBtn]	Remove	Apagar
K45::ADR.main[regionCityEditor.directionPreset]	Direction	Direção
K45::ADR.vuio[RoadMarkSettings.PoleSettings]	Pole Settings	Opções do poste
K45::ADR.vuio[RoadMarkSettings.PoleFormat]	Format	Formato
K45::ADR.vuio[PylonFormat.Cylinder]	Cylinder	Cilíndrico
K45::ADR.vuio[PylonFormat.Cubic]	Squared	Cúbico
K45::ADR.vuio[RoadMarkSettings.PoleMaterial]	Material texture	Textura de material
K45::ADR.vuio[PylonMaterial.Metal]	Metallic	Metálico
K45::ADR.vuio[PylonMaterial.Wood]	Wooden	Amadeirado
K45::ADR.vuio[RoadMarkSettings.PoleHeight]	Height	Altura
K45::ADR.vuio[RoadMarkSettings.UseDoublePole]	Use double pole	Usar poste duplo
K45::ADR.vuio[RoadMarkSettings.PoleSpacing]	Pole spacing	Espaçamento entre postes
K45::ADR.vuio[AdrEntityType.VehicleSource]	Vehicle Source	Origem de veículos
K45::ADR.vuio[AddressesInfoOptions.Tooltip.VehicleSource]	"Vehicle sources are any kind of building that can spawn vehicles, like garages, industries and others."	"Origens de veículos são qualquer tipo de prédio que podem gerar veículos, como garagens, indústria, etc."
K45::ADR.vuio[vehicleSpawner.sourceKind]	Source Kind	Tipo de prédio
K45::ADR.vuio[vehicleSpawner.categorySerialNumber]	Serial Number of Building (by Kind)	Número de série do prédio (deste tipo)
K45::ADR.vuio[vehicleSpawner.lastInternalId]	Last registered vehicle serial number	Último número de série de veículo usado
K45::ADR.vuio[vehicleSpawner.customId]	Custom Identifier\n(to use instead S/N)	Identificador personalizado\n(para usar ao invés do Número de série)
K45::ADR.vuio[vehicleSpawner.sourceKind.Police]	Police	Polícia
K45::ADR.vuio[vehicleSpawner.sourceKind.Hospital]	Hospital	Hospital
K45::ADR.vuio[vehicleSpawner.sourceKind.Deathcare]	Deathcare	Funerário
K45::ADR.vuio[vehicleSpawner.sourceKind.FireResponse]	Fire Response	Bombeiro
K45::ADR.vuio[vehicleSpawner.sourceKind.Garbage]	Garbage	Lixo
K45::ADR.vuio[vehicleSpawner.sourceKind.PublicTransport]	Public Transport (general)	Transporte público (geral)
K45::ADR.vuio[vehicleSpawner.sourceKind.CargoTransport]	Cargo Transport	Transporte de carga
K45::ADR.vuio[vehicleSpawner.sourceKind.Maintenance]	Maintenance	Manutenção
K45::ADR.vuio[vehicleSpawner.sourceKind.Post]	Post	Correio
K45::ADR.vuio[vehicleSpawner.sourceKind.CommercialCompany]	Commercial Company	Companhia Comercial
K45::ADR.vuio[vehicleSpawner.sourceKind.IndustrialCompany]	Industrial Company	Companhia Industrial
K45::ADR.vuio[vehicleSpawner.sourceKind.PublicTransport_Taxi]	Public Transport (Taxi)	Transporte público (táxis)
K45::ADR.vuio[vehicleSpawner.sourceKind.PublicTransport_Bus]	Public Transport (Bus)	Transporte público (ônibus)
K45::ADR.vuio[vehicleSpawner.sourceKind.Unknown]	Unknown	Desconhecido
K45::ADR.vuio[vehicleSpawner.sourceKind.TransportCompany]	Transport Company	Companhia Transportadora
K45::ADR.vuio[vehicleSpawner.sourceKind.Other]	Other	Outros
K45::ADR.main[overrideSettings.subCategory.roadVehicleSerial]	Road Vehicles Serial Numbers	Números de série (veículos rodoviários)
K45::ADR.main[overrideSettings.tabBusSerial]	Bus	Ônibus
K45::ADR.main[overrideSettings.tabTaxiSerial]	Taxi	Táxi
K45::ADR.main[overrideSettings.tabPoliceSerial]	Police	Polícia
K45::ADR.main[overrideSettings.tabFiretruckSerial]	Fire Response	Bombeiro
K45::ADR.main[overrideSettings.tabAmbulanceSerial]	Ambulance	Ambulância
K45::ADR.main[overrideSettings.tabGarbageSerial]	Garbage	Lixeiro
K45::ADR.main[overrideSettings.tabPostalSerial]	Postal	Correio
K45::ADR.main[overrideSettings.tabDeathcareSerial]	Deathcare	Rebecão
K45::ADR.main[vehicleSerial.buildingCityIdPosition.start]	At start	No início
K45::ADR.main[vehicleSerial.buildingCityIdPosition.end]	At end	No fim
K45::ADR.main[vehicleSerial.buildingCityIdPosition.none]	Don't show	Não adicionar
K45::ADR.main[vehicleSerial.buildingCityIdPosition]	Building citywide id position	Posição do identificador municipal do prédio
K45::ADR.main[vehicleSerial.identifierCharSettingsTitle.bus]	Serial number digits	Dígitos do número de série
K45::ADR.main[vehicleSerial.identifierDigitSource.0]	Building's vehicle serial	Nº de série do veículo (do prédio)
K45::ADR.main[vehicleSerial.identifierDigitSource.1]	Car #	Nº do carro
K45::ADR.main[vehicleSerial.identifierCharSettingsTitle.taxi]	Serial number digits	Dígitos do número de série
K45::ADR.main[vehicleSerial.identifierCharSettingsTitle.police]	Serial number digits	Dígitos do número de série
K45::ADR.main[vehicleSerial.identifierCharSettingsTitle.firetruck]	Serial number digits	Dígitos do número de série
K45::ADR.main[vehicleSerial.identifierCharSettingsTitle.ambulance]	Serial number digits	Dígitos do número de série
